CONSTITUENCY,STATE,POSTFIX_CODE,INDEX
KARIMNAGAR,TELANGANA,3,404
KHAMMAM,TELANGANA,17,405
MAHABUBABAD,TELANGANA,16,406
MAHBUBNAGAR,TELANGANA,11,407
MALKAJGIRI,TELANGANA,7,408
MEDAK,TELANGANA,6,409
NAGARKURNOOL,TELANGANA,12,410
NALGONDA,TELANGANA,13,411
NIZAMABAD,TELANGANA,4,412
PEDDAPALLE,TELANGANA,2,413
SECUNDERABAD,TELANGANA,8,414
WARANGAL,TELANGANA,15,415
ZAHIRABAD,TELANGANA,5,416
TRIPURA EAST,TRIPURA,2,417
TRIPURA WEST,TRIPURA,1,418
AGRA,UTTAR PRADESH,18,419
AKBARPUR,UTTAR PRADESH,44,420
ALIGARH,UTTAR PRADESH,15,421
ALLAHABAD,UTTAR PRADESH,52,422
AMBEDKAR NAGAR,UTTAR PRADESH,55,423
AMETHI,UTTAR PRADESH,37,424
AMROHA,UTTAR PRADESH,9,425
AONLA,UTTAR PRADESH,24,426
AZAMGARH,UTTAR PRADESH,69,427
BADAUN,UTTAR PRADESH,23,428
BAGHPAT,UTTAR PRADESH,11,429
BAHRAICH,UTTAR PRADESH,56,430
BALLIA,UTTAR PRADESH,72,431
BANDA,UTTAR PRADESH,48,432
BANSGAON,UTTAR PRADESH,67,433
BARABANKI,UTTAR PRADESH,53,434
BAREILLY,UTTAR PRADESH,25,435
BASTI,UTTAR PRADESH,61,436
BHADOHI,UTTAR PRADESH,78,437
BIJNOR,UTTAR PRADESH,4,438
BULANDSHAHR,UTTAR PRADESH,14,439
CHANDAULI,UTTAR PRADESH,76,440
DEORIA,UTTAR PRADESH,66,441
DHAURAHRA,UTTAR PRADESH,29,442
DOMARIYAGANJ,UTTAR PRADESH,60,443
ETAH,UTTAR PRADESH,22,444
ETAWAH,UTTAR PRADESH,41,445
FAIZABAD,UTTAR PRADESH,54,446
FARRUKHABAD,UTTAR PRADESH,40,447
FATEHPUR,UTTAR PRADESH,49,448
FATEHPUR SIKRI,UTTAR PRADESH,19,449
FIROZABAD,UTTAR PRADESH,20,450
GAUTAM BUDDHA NAGAR,UTTAR PRADESH,13,451
GHAZIABAD,UTTAR PRADESH,12,452
GHAZIPUR,UTTAR PRADESH,75,453
GHOSI,UTTAR PRADESH,70,454
GONDA,UTTAR PRADESH,59,455
GORAKHPUR,UTTAR PRADESH,64,456
HAMIRPUR,UTTAR PRADESH,47,457
HARDOI,UTTAR PRADESH,31,458
HATHRAS,UTTAR PRADESH,16,459
JALAUN,UTTAR PRADESH,45,460
JAUNPUR,UTTAR PRADESH,73,461
JHANSI,UTTAR PRADESH,46,462
KAIRANA,UTTAR PRADESH,2,463
KAISERGANJ,UTTAR PRADESH,57,464
KANNAUJ,UTTAR PRADESH,42,465
KANPUR,UTTAR PRADESH,43,466
KAUSHAMBI,UTTAR PRADESH,50,467
KHERI,UTTAR PRADESH,28,468
KUSHI NAGAR,UTTAR PRADESH,65,469
LALGANJ,UTTAR PRADESH,68,470
LUCKNOW,UTTAR PRADESH,35,471
MACHHLISHAHR,UTTAR PRADESH,74,472
MAINPURI,UTTAR PRADESH,21,473
MATHURA,UTTAR PRADESH,17,474
MEERUT,UTTAR PRADESH,10,475
MIRZAPUR,UTTAR PRADESH,79,476
MISRIKH,UTTAR PRADESH,32,477
MOHANLALGANJ,UTTAR PRADESH,34,478
MORADABAD,UTTAR PRADESH,6,479
MUZAFFARNAGAR,UTTAR PRADESH,3,480
NAGINA,UTTAR PRADESH,5,481
PHULPUR,UTTAR PRADESH,51,482
PILIBHIT,UTTAR PRADESH,26,483
PRATAPGARH,UTTAR PRADESH,39,484
RAE BARELI,UTTAR PRADESH,36,485
RAMPUR,UTTAR PRADESH,7,486
ROBERTSGANJ,UTTAR PRADESH,80,487
SAHARANPUR,UTTAR PRADESH,1,488
SALEMPUR,UTTAR PRADESH,71,489
SAMBHAL,UTTAR PRADESH,8,490
SANT KABIR NAGAR,UTTAR PRADESH,62,491
SHAHJAHANPUR,UTTAR PRADESH,27,492
SHRAWASTI,UTTAR PRADESH,58,493
SITAPUR,UTTAR PRADESH,30,494
SULTANPUR,UTTAR PRADESH,38,495
UNNAO,UTTAR PRADESH,33,496
VARANASI,UTTAR PRADESH,77,497
ALMORA,UTTARAKHAND,3,498
GARHWAL,UTTARAKHAND,2,499
HARIDWAR,UTTARAKHAND,5,500
NAINITAL-UDHAMSINGH NAGAR,UTTARAKHAND,4,501
TEHRI GARHWAL,UTTARAKHAND,1,502
ALIPURDUARS,WEST BENGAL,2,503
ARAMBAG,WEST BENGAL,29,504
ASANSOL,WEST BENGAL,40,505
BAHARAMPUR,WEST BENGAL,10,506
BALURGHAT,WEST BENGAL,6,507
BANGAON,WEST BENGAL,14,508
BANKURA,WEST BENGAL,36,509
BARASAT,WEST BENGAL,17,510
BARDHAMAN DURGAPUR,WEST BENGAL,39,511
BARDHAMAN PURBA,WEST BENGAL,38,512
BARRACKPUR,WEST BENGAL,15,513
BASIRHAT,WEST BENGAL,18,514
BIRBHUM,WEST BENGAL,42,515
BISHNUPUR,WEST BENGAL,37,516
BOLPUR,WEST BENGAL,41,517
COOCH BEHAR,WEST BENGAL,1,518
DARJEELING,WEST BENGAL,4,519
DIAMOND HARBOUR,WEST BENGAL,21,520
DUM DUM,WEST BENGAL,16,521
GHATAL,WEST BENGAL,32,522
HOOGHLY,WEST BENGAL,28,523
HOWRAH,WEST BENGAL,25,524
JADAVPUR,WEST BENGAL,22,525
JALPAIGURI,WEST BENGAL,3,526
JANGIPUR,WEST BENGAL,9,527
JAYNAGAR,WEST BENGAL,19,528
JHARGRAM,WEST BENGAL,33,529
KANTHI,WEST BENGAL,31,530
KOLKATA DAKSHIN,WEST BENGAL,23,531
KOLKATA UTTAR,WEST BENGAL,24,532
KRISHNANAGAR,WEST BENGAL,12,533
MALDAHA DAKSHIN,WEST BENGAL,8,534
MALDAHA UTTAR,WEST BENGAL,7,535
MATHURAPUR,WEST BENGAL,20,536
MEDINIPUR,WEST BENGAL,34,537
MURSHIDABAD,WEST BENGAL,11,538
PURULIA,WEST BENGAL,35,539
RAIGANJ,WEST BENGAL,5,540
RANAGHAT,WEST BENGAL,13,541
SREERAMPUR,WEST BENGAL,27,542
TAMLUK,WEST BENGAL,30,543
ULUBERIA,WEST BENGAL,26,544
