CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES
9631,Manoj Gupta,36,AKBARPUR,UTTAR PRADESH,IND,0,10th Pass,51872.0,0.6972,0.147,1,4,1,0.0121,7
9640,Mahendra Singh Yadav,60,AKBARPUR,UTTAR PRADESH,Pragatishil Samajwadi Party (Lohia),0,Graduate,63103139.0,0.6972,0.147,1,1,3,0.0121,7
9647,Vikas Tripathi,40,AKBARPUR,UTTAR PRADESH,Bhartiya Lok Seva Dal,0,Illiterate,1141980.0,0.6972,0.147,1,3,0,0.0121,7
9628,Nisha,46,AKBARPUR,UTTAR PRADESH,BSP,0,Post Graduate,120829362.0,0.6972,0.147,3,3,4,0.0121,7
9638,Amit Tripathi,33,AKBARPUR,UTTAR PRADESH,Adhunik Bharat Party,0,Graduate,2311861.0,0.6972,0.147,1,4,3,0.0121,7
9644,Saurabh Mishra,26,AKBARPUR,UTTAR PRADESH,Bhartiya Shakti Chetna Party,0,Post Graduate,406427.0,0.6972,0.147,1,5,4,0.0121,7
9649,Arun Kumar,33,AKBARPUR,UTTAR PRADESH,IND,0,12th Pass,352000.0,0.6972,0.147,1,4,2,0.0121,7
6358,Kamble Bhanudas Chokhoba,50,AKOLA,MAHARASHTRA,BSP,0,12th Pass,1042000.0,0.8291,0.088,3,2,2,0.0047,4
5828,Sau. Pravina Laxman Bhatkar,58,AKOLA,MAHARASHTRA,Bahujan Mukti Party,0,Graduate Professional,15526329.0,0.8291,0.088,1,2,3,0.0047,4
5441,Sachin Ganpatlal Sharma,39,AKOLA,MAHARASHTRA,IND,0,10th Pass,29055000.0,0.8291,0.088,1,4,1,0.0047,4
5001,Murlidhar Lalsingh Pawar,60,AKOLA,MAHARASHTRA,IND,0,Post Graduate,4771400.0,0.8291,0.088,1,1,4,0.0047,4
6359,Gajanan Onkar Harne,50,AKOLA,MAHARASHTRA,IND,0,12th Pass,4270000.0,0.8291,0.088,1,2,2,0.0047,4
5442,Arun Kankar Wankhede,63,AKOLA,MAHARASHTRA,Peoples Party of India (Democratic),0,10th Pass,7210000.0,0.8291,0.088,1,1,1,0.0047,4
5002,Pravin Chandrakant Kaurpuriya,44,AKOLA,MAHARASHTRA,IND,0,Graduate Professional,540000.0,0.8291,0.088,1,3,3,0.0047,4
6357,Hidayatulla Barakatulla Patel,60,AKOLA,MAHARASHTRA,INC,1,10th Pass,14463657.0,0.8291,0.088,3,1,1,0.0047,4
6360,Ambedkar Prakash Yashwant,64,AKOLA,MAHARASHTRA,Vanchit Bahujan Aaghadi,0,Graduate Professional,58722916.0,0.8291,0.088,1,1,3,0.0047,4
