CANDIDATE_ID,CANDIDATE_NAME,AGE_GROUP_INDEX,CONSTITUENCY_INDEX,STATE_INDEX,PARTY_INDEX,NO_PENDING_CRIMINAL_CASES,EARNINGS_POINTS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX_INDEX,VOTING_PERCENTAGE
4817,CHADIPIRALLA SIVA NARAYANA REDDY,1,11,2,400,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0004
6963,LAKSHMI REDDY PUTHA,1,11,2,458,3,0,0.674,0.046,1,3,0.0524,1,0,0,0.0003
5021,VANGA GEETHA VISWANATHAM,1,12,2,675,0,0,0.674,0.046,2,4,0.0524,1,0,1,0.4354
5022,SUNIL KUMAR CHALAMALASETTY,1,12,2,637,0,0,0.674,0.046,2,4,0.0524,1,0,0,0.4146
6206,JYOTHULA VENKATESWARA RAO,1,12,2,288,0,0,0.674,0.046,1,2,0.0524,1,0,0,0.1074
5024,YALLA VENKATA RAMA MOHANA RAO,1,12,2,187,1,0,0.674,0.046,3,3,0.0524,1,0,0,0.0078
4690,MALLIPUDI SRI RAMACHANDRA MURTHY,1,12,2,243,0,0,0.674,0.046,3,0,0.0524,1,0,0,0.007
6208,KAKILETI RAVINDRA,1,12,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0027
6213,APPALAKONDA VANGALAPUDI,1,12,2,375,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0024
6212,MEDISETTI VIJAYA KUMAR,1,12,2,244,8,0,0.674,0.046,1,2,0.0524,1,0,0,0.0017
5023,GODUGU SATYANARAYANA,1,12,2,200,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0014
6211,BUDDALA GEETHA DEVI,1,12,2,437,0,0,0.674,0.046,1,0,0.0524,1,0,1,0.0014
4689,ANKADI SATHIBABU,1,12,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0011
5025,SATHI VEERA LAKSHMI,1,12,2,454,0,0,0.674,0.046,1,0,0.0524,1,0,1,0.0009
6214,VASAMSETTY VENAKTA RAMANA,1,12,2,23,0,0,0.674,0.046,2,1,0.0524,1,0,0,0.0008
6209,DONAM NEELAKANTAM,1,12,2,55,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0008
6210,PEDDIMSETTI VENKATESWARA RAO,1,12,2,286,2,0,0.674,0.046,1,2,0.0524,1,0,0,0.0007
5054,DR SANJEEV KUMAR,2,13,2,675,0,0,0.674,0.046,2,4,0.0524,1,0,0,0.5097
4719,KOTLA JAYA SURYA PRAKASH REDDY,1,13,2,637,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.3839
6932,AHMED ALI KHAN,3,13,2,243,0,0,0.674,0.046,3,2,0.0524,1,0,0,0.0307
5052,P.V. PARTHASARATHI,3,13,2,187,0,0,0.674,0.046,3,4,0.0524,1,0,0,0.0206
5053,KOMMIREDDY PRABHAKAR REDDY,2,13,2,198,1,0,0.674,0.046,3,3,0.0524,1,0,0,0.016
6940,T. BEECHUPALLY,5,13,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0083
6931,ABDUL WARIS,2,13,2,603,4,0,0.674,0.046,1,0,0.0524,1,0,0,0.0061
6938,P.V. SRIHARI,2,13,2,244,0,0,0.674,0.046,1,5,0.0524,1,0,0,0.0055
6934,DANDU SESHU YADAV,4,13,2,618,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.0028
7017,B. SHIVA KUMAR,3,13,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0023
4717,G SANJEEVA KUMAR,4,13,2,572,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0018
6935,DEVARAPOGU MADDILETY,3,13,2,244,1,0,0.674,0.046,1,1,0.0524,1,0,0,0.0014
4718,HATCHOLI THOMAS,3,13,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0013
6937,M. NAGANNA,1,13,2,621,1,0,0.674,0.046,1,0,0.0524,1,0,0,0.0011
6936,KASULA RAJASEKHAR,3,13,2,454,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.001
6939,S.MD. SHAFATH,4,13,2,541,0,1,0.674,0.046,1,3,0.0524,1,0,0,0.001
4794,BALASHOWRY VALLABHANENI,2,14,2,675,2,0,0.674,0.046,2,4,0.0524,1,0,0,0.4603
4795,KONAKALLA NARAYANA RAO,1,14,2,637,0,1,0.674,0.046,2,2,0.0524,1,1,0,0.4119
6248,BANDREDDI RAMAKRISHNA,3,14,2,288,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0911
6249,GOLLU KRISHNA,2,14,2,243,5,0,0.674,0.046,3,0,0.0524,1,0,0,0.0099
4683,GUDIVAKA RAMANJANEYULU,2,14,2,187,0,0,0.674,0.046,3,3,0.0524,1,0,0,0.0052
6247,VIJAYA LAKSHMI CHALAPAKA,4,14,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,1,0.0038
4621,PERAM SIVA NAGESWARA RAO,2,14,2,556,0,1,0.674,0.046,1,0,0.0524,1,0,0,0.0029
6253,YARLAGADDA RAMA MOHANA RAO,2,14,2,96,0,0,0.674,0.046,1,2,0.0524,1,0,0,0.0008
6251,GUDIVAKA VENKATA NAGA BASAVA RAO,5,14,2,244,0,1,0.674,0.046,1,2,0.0524,1,0,0,0.0007
4684,GANDHI DHANEKULA,1,14,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0007
4793,VALLURU VENKATESWARA RAO,1,14,2,454,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0007
6250,NADAKUDITI NAGA GAYATHRI,4,14,2,244,0,1,0.674,0.046,1,4,0.0524,1,0,1,0.0006
